2:00:13 PM  [main] 	Initializing Control Panel
2:00:13 PM  [main] 	Windows Version:  Home  64-bit
2:00:13 PM  [main] 	XAMPP Version: 7.3.0
2:00:13 PM  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
2:00:13 PM  [main] 	You are not running with administrator rights! This will work for
2:00:13 PM  [main] 	most application stuff but whenever you do something with services
2:00:13 PM  [main] 	there will be a security dialogue or things will break! So think 
2:00:13 PM  [main] 	about running this application with administrator rights!
2:00:13 PM  [main] 	XAMPP Installation Directory: "c:\users\wyatt\onedrive\desktop\csci 202\xamp\"
2:00:13 PM  [main] 	WARNING: Your install directory contains spaces.  This may break programs/scripts
2:00:13 PM  [main] 	Checking for prerequisites
2:00:13 PM  [main] 	All prerequisites found
2:00:13 PM  [main] 	Initializing Modules
2:00:13 PM  [main] 	Starting Check-Timer
2:00:13 PM  [main] 	Control Panel Ready
11:57:11 AM  [main] 	Deinitializing Modules
11:57:11 AM  [main] 	Deinitializing Control Panel

